subject, condition, nAverages, accuracy, nCorrect, nCued
S5, hybrid-8-57Hz, 6, 93.06, 67, 72
S5, hybrid-8-57Hz, 7, 94.44, 68, 72
S5, hybrid-8-57Hz, 8, 97.22, 70, 72
S5, hybrid-8-57Hz, 9, 97.22, 70, 72
S5, hybrid-8-57Hz, 10, 100.00, 72, 72
S5, oddball, 1, 66.67, 48, 72
S5, oddball, 2, 62.50, 45, 72
S5, oddball, 3, 75.00, 54, 72
S5, oddball, 4, 80.56, 58, 72
S5, oddball, 5, 79.17, 57, 72
S5, oddball, 6, 87.50, 63, 72
S5, oddball, 7, 87.50, 63, 72
S5, oddball, 8, 87.50, 63, 72
S5, oddball, 9, 83.33, 60, 72
S5, oddball, 10, 93.06, 67, 72
