subjectR,conditionR,stimStyle,frequency,channelR,runR,fftValue
S1,hybrid-12Hz,hybrid,12,Fz,35,0.967954049456188
S1,hybrid-12Hz,hybrid,12,Fz,36,0.404883314613807
S1,hybrid-12Hz,hybrid,12,F4,1,0.759509202837135
S1,hybrid-12Hz,hybrid,12,F4,2,0.358376277297171
S1,hybrid-12Hz,hybrid,12,F4,3,1.10243890445596
S1,hybrid-12Hz,hybrid,12,F4,4,0.478358061497677
S1,hybrid-12Hz,hybrid,12,F4,5,0.900944041005343
S1,hybrid-12Hz,hybrid,12,F4,6,0.224946211150603
S1,hybrid-12Hz,hybrid,12,F4,7,0.788093879152137
S1,hybrid-12Hz,hybrid,12,F4,8,0.42745424575974
S1,hybrid-12Hz,hybrid,12,F4,9,0.184508921061814
S1,hybrid-12Hz,hybrid,12,F4,10,1.01689912860117
S1,hybrid-12Hz,hybrid,12,F4,11,0.46905038783409
S1,hybrid-12Hz,hybrid,12,F4,12,1.1979970496879
S1,hybrid-12Hz,hybrid,12,F4,13,0.323627519451116
S1,hybrid-12Hz,hybrid,12,F4,14,0.972550245491531
S1,hybrid-12Hz,hybrid,12,F4,15,0.585091772765277
S1,hybrid-12Hz,hybrid,12,F4,16,0.816070310694925
S1,hybrid-12Hz,hybrid,12,F4,17,0.369872281351119
S1,hybrid-12Hz,hybrid,12,F4,18,1.15420525783179
S1,hybrid-12Hz,hybrid,12,F4,19,0.662853181026387
S1,hybrid-12Hz,hybrid,12,F4,20,0.497473883895491
S1,hybrid-12Hz,hybrid,12,F4,21,0.6714078724161
S1,hybrid-12Hz,hybrid,12,F4,22,0.354305756428254
S1,hybrid-12Hz,hybrid,12,F4,23,1.20095099369763
S1,hybrid-12Hz,hybrid,12,F4,24,0.388220011198394
S1,hybrid-12Hz,hybrid,12,F4,25,0.58607169039426
S1,hybrid-12Hz,hybrid,12,F4,26,1.32887984200992
S1,hybrid-12Hz,hybrid,12,F4,27,0.215135978311977
S1,hybrid-12Hz,hybrid,12,F4,28,0.387093597936488
S1,hybrid-12Hz,hybrid,12,F4,29,0.707594963949805
S1,hybrid-12Hz,hybrid,12,F4,30,1.14972358886513
S1,hybrid-12Hz,hybrid,12,F4,31,0.375133133778089
S1,hybrid-12Hz,hybrid,12,F4,32,0.0792497999261573
S1,hybrid-12Hz,hybrid,12,F4,33,0.582615383210486
S1,hybrid-12Hz,hybrid,12,F4,34,0.856924370257318
S1,hybrid-12Hz,hybrid,12,F4,35,0.915898165174847
S1,hybrid-12Hz,hybrid,12,F4,36,0.480481644212416
S1,hybrid-12Hz,hybrid,12,F8,1,0.58049539773969
